timestamp,idk,cumsum,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,idk7
Fri Aug 13 04:56:04 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:57:04 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:58:05 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:59:05 2021,0,1443,0,6,3630,0,7,375,0,10.3226,0
Fri Aug 13 05:00:06 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 05:01:07 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 05:02:07 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 05:03:08 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 05:04:08 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 05:05:09 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 05:06:09 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 05:07:10 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 05:08:11 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 05:09:11 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 05:10:12 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 05:11:12 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 05:12:13 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 05:13:14 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 05:14:14 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 05:15:15 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 05:16:15 2021,0,1443,0,6,3630,0,7,450,0,0,0
Fri Aug 13 05:17:16 2021,0,1443,0,6,3630,0,7,450,0,0,0
Fri Aug 13 05:18:16 2021,0,1443,0,6,3630,0,7,450,0,0,0
Fri Aug 13 05:19:17 2021,0,1443,0,6,3630,0,7,450,0,0,0
Fri Aug 13 05:20:18 2021,0,1443,0,6,3630,0,7,450,0,0,0
Fri Aug 13 05:21:18 2021,0,1443,0,6,3630,0,7,450,0,0,0
Fri Aug 13 05:22:19 2021,0,1443,0,6,3630,0,7,450,0,0,0
Fri Aug 13 05:23:19 2021,0,1443,0,6,3630,0,7,450,0,0,0
Fri Aug 13 05:24:20 2021,0,1443,0,6,3630,0,7,450,0,0,0
Fri Aug 13 05:25:20 2021,0,1443,0,6,3630,0,7,450,0,0,0
Fri Aug 13 05:26:21 2021,0,1443,0,6,3630,0,7,450,0,0,0
Fri Aug 13 05:27:22 2021,0,1443,0,6,3630,0,7,450,0,0,0
