timestamp,idk,idk2,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,op_state
Mon Sep 20 03:04:53 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:05:54 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:06:54 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:07:55 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:08:56 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:09:56 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:10:57 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:11:57 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:12:58 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:13:58 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:14:59 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:16:00 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:17:00 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:18:01 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:19:01 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:20:02 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:21:03 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:22:03 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:23:04 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:24:04 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:25:05 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:26:05 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:27:06 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:28:07 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:29:07 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:30:08 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:31:08 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:32:09 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:33:10 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:34:10 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:35:11 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:36:11 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:37:12 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:38:13 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:39:13 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:40:14 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
